encoder_forward,sm__cycles_active.max,29637.00
encoder_forward,gpc__cycles_elapsed.max,32118.00
encoder_forward,gpc__cycles_elapsed.avg.per_second,1396150876.67
encoder_forward,gpu__time_duration.max,22944.00
encoder_forward,gpu__time_duration.sum,22944.00
ln1,sm__cycles_active.max,27355.00
ln1,gpc__cycles_elapsed.max,29668.00
ln1,gpc__cycles_elapsed.avg.per_second,1392789909.64
ln1,gpu__time_duration.max,21248.00
ln1,gpu__time_duration.sum,21248.00
attention,gpu__time_duration.sum,794016.00
attention,gpu__time_duration.max,794016.00
attention,gpc__cycles_elapsed.avg.per_second,9819478701.93
attention,gpc__cycles_elapsed.max,1117741.00
attention,sm__cycles_active.max,1098264.00
residual1,sm__cycles_active.max,29299.00
residual1,gpc__cycles_elapsed.max,31750.00
residual1,gpc__cycles_elapsed.avg.per_second,1399487270.16
residual1,gpu__time_duration.max,22624.00
residual1,gpu__time_duration.sum,22624.00
ln2,sm__cycles_active.max,28526.00
ln2,gpc__cycles_elapsed.max,30776.00
ln2,gpc__cycles_elapsed.avg.per_second,1392513736.26
ln2,gpu__time_duration.max,22048.00
ln2,gpu__time_duration.sum,22048.00
ff,gpu__time_duration.sum,414080.00
ff,gpu__time_duration.max,414080.00
ff,gpc__cycles_elapsed.avg.per_second,4205142356.62
ff,gpc__cycles_elapsed.max,581474.00
ff,sm__cycles_active.max,573275.00
residual2,sm__cycles_active.max,22868.00
residual2,gpc__cycles_elapsed.max,25284.00
residual2,gpc__cycles_elapsed.avg.per_second,1396223135.27
residual2,gpu__time_duration.max,18080.00
residual2,gpu__time_duration.sum,18080.00
vecadd,sm__cycles_active.max,14914.00
vecadd,gpc__cycles_elapsed.max,17327.00
vecadd,gpc__cycles_elapsed.avg.per_second,1392040224.59
vecadd,gpu__time_duration.max,12416.00
vecadd,gpu__time_duration.sum,12416.00
vecadd_thrust,sm__cycles_active.max,23969.00
vecadd_thrust,gpc__cycles_elapsed.max,26321.00
vecadd_thrust,gpc__cycles_elapsed.avg.per_second,1396471088.44
vecadd_thrust,gpu__time_duration.max,18816.00
vecadd_thrust,gpu__time_duration.sum,18816.00
encoder_forward,dram__throughput.avg.pct_of_peak_sustained_elapsed,55.84
ln1,dram__throughput.avg.pct_of_peak_sustained_elapsed,29.75
attention,dram__throughput.avg.pct_of_peak_sustained_elapsed,395.09
residual1,dram__throughput.avg.pct_of_peak_sustained_elapsed,73.24
ln2,dram__throughput.avg.pct_of_peak_sustained_elapsed,33.51
ff,dram__throughput.avg.pct_of_peak_sustained_elapsed,147.28
residual2,dram__throughput.avg.pct_of_peak_sustained_elapsed,64.69
vecadd,dram__throughput.avg.pct_of_peak_sustained_elapsed,63.73
vecadd_thrust,dram__throughput.avg.pct_of_peak_sustained_elapsed,54.82
encoder_forward,smsp__inst_executed.sum,6144000.00
ln1,smsp__inst_executed.sum,4067328.00
attention,smsp__inst_executed.sum,148254960.00
residual1,smsp__inst_executed.sum,1867776.00
ln2,smsp__inst_executed.sum,4067328.00
ff,smsp__inst_executed.sum,87396864.00
residual2,smsp__inst_executed.sum,1867776.00
vecadd,smsp__inst_executed.sum,786432.00
vecadd_thrust,smsp__inst_executed.sum,1867776.00
encoder_forward,smsp__sass_data_bytes_mem_global_op_st.sum,12582912.00
encoder_forward,smsp__sass_data_bytes_mem_global_op_ld.sum,25559040.00
encoder_forward,smsp__sass_inst_executed_op_ldgsts.sum,0.00
encoder_forward,smsp__sass_inst_executed_op_global_st.sum,98304.00
encoder_forward,smsp__sass_inst_executed_op_global_ld.sum,294912.00
encoder_forward,smsp__sass_inst_executed_op_shared_st.sum,0.00
encoder_forward,smsp__sass_inst_executed_op_shared_ld.sum,0.00
ln1,smsp__sass_data_bytes_mem_global_op_st.sum,12615680.00
ln1,smsp__sass_data_bytes_mem_global_op_ld.sum,62914560.00
ln1,smsp__sass_inst_executed_op_ldgsts.sum,0.00
ln1,smsp__sass_inst_executed_op_global_st.sum,106496.00
ln1,smsp__sass_inst_executed_op_global_ld.sum,491520.00
ln1,smsp__sass_inst_executed_op_shared_st.sum,0.00
ln1,smsp__sass_inst_executed_op_shared_ld.sum,0.00
attention,smsp__sass_inst_executed_op_shared_ld.sum,3686400.00
attention,smsp__sass_inst_executed_op_shared_st.sum,1032192.00
attention,smsp__sass_inst_executed_op_global_ld.sum,1607040.00
attention,smsp__sass_inst_executed_op_global_st.sum,1720320.00
attention,smsp__sass_inst_executed_op_ldgsts.sum,2457600.00
attention,smsp__sass_data_bytes_mem_global_op_ld.sum,277020672.00
attention,smsp__sass_data_bytes_mem_global_op_st.sum,415334400.00
residual1,smsp__sass_data_bytes_mem_global_op_st.sum,12582912.00
residual1,smsp__sass_data_bytes_mem_global_op_ld.sum,25165824.00
residual1,smsp__sass_inst_executed_op_ldgsts.sum,0.00
residual1,smsp__sass_inst_executed_op_global_st.sum,98304.00
residual1,smsp__sass_inst_executed_op_global_ld.sum,196608.00
residual1,smsp__sass_inst_executed_op_shared_st.sum,0.00
residual1,smsp__sass_inst_executed_op_shared_ld.sum,0.00
ln2,smsp__sass_data_bytes_mem_global_op_st.sum,12615680.00
ln2,smsp__sass_data_bytes_mem_global_op_ld.sum,62914560.00
ln2,smsp__sass_inst_executed_op_ldgsts.sum,0.00
